order_id,customer_id,product_name,category,quantity,unit_price,revenue,order_date,city,payment_method,store,discount
1,1102,Printer,electronics,4,485.26,1941.04,2022-06-28,Lagos,CARD,Store_A,0.17
2,2718,Phone,electronics,10,592.47,5924.700000000001,2022-11-23 00:00:00,lagos,Transfer,Store_A,0.03
3,3472,Tablet,Electronics,8,1095.64,8765.12,2023-08-24 00:00:00,LAGOS,Cash,Store_A,0.2
4,4503,Phone,Electronics,7,592.05,4144.349999999999,2024-01-29 00:00:00,Kano,Cash,Store_B,0.16
5,2105,Printer,ELECTRONICS,9,478.25,4304.25,2022-04-25,LAGOS,Cash,Store_B,0.27
6,1870,Printer,electronics,7,1775.13,12425.91,2022-10-13 00:00:00,LAGOS,cash,Store_D,0.11
7,3021,Laptop,Electronics,2,348.04,696.08,2022-05-11 00:00:00,Abuja,CARD,Store_A,0.2
8,4075,Tablet,ELECTRONICS,6,267.53,1605.1799999999998,2023-06-24 00:00:00,Port Harcourt,Transfer,Store_B,0.05
9,4189,Camera,Electronics,10,-682.1,-6821.0,2023-09-22 00:00:00,Port Harcourt,Cash,Store_D,0.24
10,1515,Phone,ELECTRONICS,8,1896.35,15170.8,2024-05-16 00:00:00,Kano,Transfer,Store_D,0.3
11,3119,Headphones,Electronics,4,488.16,1952.64,2023-04-17,Kano,Card,Store_A,0.27
12,1974,Tablet,ELECTRONICS,8,467.76,3742.08,2024-08-26 00:00:00,Abuja,Cash,Store_D,0.11
13,1221,Printer,ELECTRONICS,2,168.19,336.38,2022-08-12 00:00:00,Abuja,Card,Store_C,0.14
14,4309,Camera,Electronics,1,,,2022-07-11 00:00:00,lagos,cash,Store_B,0.26
15,1008,Headphones,electronics,8,606.24,4849.92,2024-09-23 00:00:00,Lagos,CARD,Store_A,0.22
16,3059,Camera,Electronics,1,1923.52,1923.52,2022-05-20 00:00:00,Lagos,CARD,Store_B,0.17
17,3692,Camera,ELECTRONICS,9,666.92,6002.28,2023-10-06 00:00:00,Kano,cash,Store_C,0.28
637,3306,Laptop,Electronics,9,465.65,4190.849999999999,2022-05-21 00:00:00,lagos,CARD,Store_C,0.18
19,1032,Printer,ELECTRONICS,5,1866.92,9334.6,2023-06-26 00:00:00,Port Harcourt,Transfer,Store_B,0.22
20,2081,Camera,electronics,5,1815.41,9077.050000000001,2024-05-17,LAGOS,Transfer,Store_B,0.22
21,1039,Laptop,Electronics,3,1113.9,3341.7000000000003,2022-10-31,LAGOS,Cash,Store_C,0.06
22,4195,Camera,electronics,10,1511.48,15114.8,2022-11-29 00:00:00,Abuja,Transfer,Store_D,0.24
23,2092,Phone,ELECTRONICS,2,795.96,1591.92,2023-02-13 00:00:00,LAGOS,Card,Store_B,0.01
24,4540,Laptop,electronics,6,1300.89,7805.34,2023-11-10 00:00:00,LAGOS,Transfer,Store_A,0.03
25,2284,Headphones,ELECTRONICS,9,275.51,2479.59,2022-04-01,Port Harcourt,Card,Store_C,0.13
